Caractere,CodigoBinario_Invertido
A,1000001
a,1000011
B,0100001
b,0100011
C,1100001
c,1100011
D,0010001
d,0010011
E,1010001
e,1010011
F,0110001
f,0110011
G,1110001
g,1110011
H,0001001
h,0001011
I,1001001
i,1001011
J,0101001
j,0101011
K,1101001
k,1101011
L,0011001
l,0011011
M,1011001
m,1011011
N,0111001
n,0111011
O,1111001
o,1111011
P,0000101
p,0000111
Q,1000101
q,1000111
R,0100101
r,0100111
S,1100101
s,1100111
T,0010101
t,0010111
U,1010101
u,1010111
V,0110101
v,0110111
W,1110101
w,1110111
X,0001101
x,0001111
Y,1001101
y,1001111
Z,0101101
z,0101111
 ,0000010
.,0111010
",",0011010
;,1101110
:,0101110
!,1000010
?,1111110
"""",0100010
',1110010
(,0001010
),1001010
[,1101101
],1011101
{,1101111
},1011111
-,1011010
_,1111101
/,1111010
\,0011101
